序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态
123,石洞山（含五期）,弥勒石洞山风电场,240,云南省,红河州,弥勒市,巡检司镇/五山乡,石洞山风电场（含吉丹山/茨柯山/对门山/苗峨山）,http://news.bjx.com.cn/html/20140701/523239.shtml,240MW（含五期）,http://news.bjx.com.cn/html/20140701/523239.shtml,高,已完成
124,吉丹山,弥勒吉丹山风电场,48,云南省,红河州,弥勒市,五山乡,吉丹山风电场（石洞山二期）,https://www.bidcenter.com.cn/newscontent-20576276-1.html,48MW,https://www.bidcenter.com.cn/newscontent-20576276-1.html,高,已完成
125,对门山,弥勒对门山风电场,48,云南省,红河州,弥勒市,五山乡,对门山风电场（石洞山三期）,http://news.bjx.com.cn/html/20140701/523239.shtml,48MW,http://news.bjx.com.cn/html/20140701/523239.shtml,高,已完成
126,漕涧梁子,云龙漕涧梁子风电场,99,云南省,大理州,云龙县,漕涧镇,漕涧梁子风电场,https://news.bjx.com.cn/html/20140606/516498.shtml,99MW,https://news.bjx.com.cn/html/20140606/516498.shtml,高,已完成
127,支锅山,石林支锅山风电场,49.5,云南省,昆明市,石林县,西街口镇,支锅山风电场,https://news.bjx.com.cn/html/20120627/369318.shtml,49.5MW,https://news.bjx.com.cn/html/20120627/369318.shtml,高,已完成
128,茨柯山,弥勒茨柯山风电场,48,云南省,红河州,弥勒市,五山乡,茨柯山风电场（石洞山二期）,https://m.bjx.com.cn/mnews/20160122/703728.shtml,48MW,https://m.bjx.com.cn/mnews/20160122/703728.shtml,高,已完成
129,苗峨山,弥勒苗峨山风电场,,云南省,红河州,弥勒市,,苗峨山风电场（石洞山五期）,,,中,待核实
130,丹凤,师宗丹凤风电场,300,云南省,曲靖市,师宗县,,丹凤风电场,http://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220308_238103.html,300MW,http://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220308_238103.html,高,已完成
131,长岭坡,待核实,,云南省,,,,,未找到明确信息,中,待核实
132,糯扎渡,待核实,,云南省,,,,,未找到明确信息,中,待核实
133,天峰山,祥云天峰山风电场,199.25,云南省,大理州,祥云县,东山乡/下庄镇/普淜镇,天峰山风电场,https://news.bjx.com.cn/topics/tianfengshanfengdianchang/,199.25MW,https://news.bjx.com.cn/topics/tianfengshanfengdianchang/,高,已完成
134,太平,大理太平风电场,31.5,云南省,大理州,漾濞县,,太平风电场,https://news.bjx.com.cn/topics/taipingfengdianchang/,31.5MW,https://news.bjx.com.cn/topics/taipingfengdianchang/,高,已完成
135,富源北光梁子,富源光梁子风电场,166.4,云南省,曲靖市,富源县,后所镇,富源光梁子风电场,http://newenergy.in-en.com/html/newenergy-2286867.shtml,48MW+118.4MW,http://newenergy.in-en.com/html/newenergy-2286867.shtml,高,已完成
136,对门梁子,马龙对门梁子风电场,90,云南省,曲靖市,马龙区,旧县镇/通泉镇,马龙对门梁子风电场,https://m.bjx.com.cn/mnews/20150421/610472.shtml,90MW,https://m.bjx.com.cn/mnews/20150421/610472.shtml,高,已完成
137,将军山（含大丫口）,华宁大丫口-将军山风电场,88,云南省,玉溪市,华宁县,,华宁大丫口将军山风电场,http://sdgw.powerchina.cn/col13033/art/2022/art_13033_1486598.html,88MW,http://sdgw.powerchina.cn/col13033/art/2022/art_13033_1486598.html,高,已完成
138,小白岩,寻甸小白岩风电场,75,云南省,昆明市,寻甸县,,寻甸小白岩风电场,http://www.qianlima.com/gjxx/69418/index_29_0.html,75MW,http://www.qianlima.com/gjxx/69418/index_29_0.html,中,待核实
139,巨龙梁,寻甸巨龙梁风电场,100,云南省,昆明市,寻甸县,金源乡/倘甸镇,寻甸巨龙梁风电场,https://zhuanlan.zhihu.com/p/599762000,100MW,https://zhuanlan.zhihu.com/p/599762000,高,已完成
140,巨龙山,宾川巨龙山风电场,49.5,云南省,大理州,宾川县,宾居镇/大营镇,宾川巨龙山风电场,https://news.bjx.com.cn/html/20141016/554969.shtml,49.5MW,https://news.bjx.com.cn/html/20141016/554969.shtml,高,已完成
141,通泉（含扩建）,马龙通泉风电场,350,云南省,曲靖市,马龙区,,通泉风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,高,已完成
142,马鞍山（含五期）,洱源马鞍山风电场,228,云南省,大理州,洱源县,,马鞍山风电场（含马鞍山+黄草坡+观音山+大龙潭+干海子五期）,http://archiverm.yingjiesheng.com/job-000-989-496.html,228MW,http://archiverm.yingjiesheng.com/job-000-989-496.html,高,已完成
143,朵古,蒙自朵古风电场,49.5,云南省,红河州,蒙自市,西北勒乡,蒙自朵古风电场,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,49.5MW,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,高,已完成
144,会泽金钟（一期）,会泽金钟风电场,300,云南省,曲靖市,会泽县,金钟镇/五星乡/大海乡,会泽金钟风电场一期,https://news.bjx.com.cn/html/20220210/1203410.shtml,300MW,https://news.bjx.com.cn/html/20220210/1203410.shtml,高,已完成
145,会泽金钟（二期）,会泽金钟风电场二期,50.4,云南省,曲靖市,会泽县,,金钟风电场二期,https://wind.imarine.cn/news/100727.html,50.4MW,https://wind.imarine.cn/news/100727.html,高,已完成
146,弥勒东风电场,永宁风电项目南片区,（永宁750MW项目一部分）,云南省,红河州,弥勒市,,弥勒东风电场（永宁项目南片区）,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,（永宁项目南片区）,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,高,已完成
147,舍得,丘北羊雄山风电场,99,云南省,文山州,丘北县,舍得乡,丘北羊雄山风电场（舍得片区）,https://news.bjx.com.cn/html/20130917/460323.shtml,99MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,已完成
148,文兴,宣威文兴风电场,377.25,云南省,曲靖市,宣威市,文兴乡/双河乡/乐丰乡,宣威文兴风电场,https://m.bjx.com.cn/mnews/20210508/1151462.shtml,377.25MW,https://m.bjx.com.cn/mnews/20210508/1151462.shtml,高,已完成
149,西泽,宣威西泽风电场,210,云南省,曲靖市,宣威市,务德镇/西泽乡/热水镇,宣威西泽风电场,https://www.sohu.com/a/749738719_121613636,210MW,https://www.sohu.com/a/749738719_121613636,高,已完成
150,马塘,陆良马塘风电场,49.5,云南省,曲靖市,陆良县,龙海乡,陆良马塘风电场,https://news.bjx.com.cn/html/20120629/369881.shtml,49.5MW,https://news.bjx.com.cn/html/20120629/369881.shtml,高,已完成
151,龙潭（洱源大龙潭）,洱源大龙潭风电场,49.5,云南省,大理州,洱源县,右所镇/邓川镇,洱源大龙潭风电场（马鞍山南片区）,https://sthjt.yn.gov.cn/xxywzsdt/201111/t20111101_32648.html,49.5MW,https://sthjt.yn.gov.cn/xxywzsdt/201111/t20111101_32648.html,高,已完成
152,龙潭（陆良龙潭）,陆良龙潭风电场,49.5,云南省,曲靖市,陆良县,,陆良龙潭风电场,https://news.zcwz.com/56044.html,49.5MW,https://news.zcwz.com/56044.html,高,已完成
153,黄草坡,洱源黄草坡风电场,49.5,云南省,大理州,洱源县,,洱源黄草坡风电场（马鞍山二期）,http://www.qinghuan.com/buy/show.php?itemid=21504,49.5MW,http://www.qinghuan.com/buy/show.php?itemid=21504,高,已完成
154,德宏芒市平河风电场,芒市平河风电场,200,云南省,德宏州,芒市,平河乡,芒市平河风电场,https://new.qq.com/rain/a/20251201A05VGH00,200MW,https://new.qq.com/rain/a/20251201A05VGH00,高,已完成
155,昌宁长田风电场,昌宁长田风电场,43.75,云南省,保山市,昌宁县,,昌宁长田风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,43.75MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,已完成
156,华宁大龙山风电场,华宁大龙山风电场,56.25,云南省,玉溪市,华宁县,,华宁大龙山风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,56.25MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,已完成
157,昌宁中寨风电场,昌宁中寨风电场,37.5,云南省,保山市,昌宁县,,昌宁中寨风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,37.5MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,已完成
158,弥勒西风电场扩建,弥勒西风电场扩建项目,300,云南省,红河州,弥勒市,,弥勒西风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,300MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,已完成
159,开远大黑山风电场扩建,开远大黑山风电场扩建项目,300,云南省,红河州,开远市,,开远大黑山风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,300MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,已完成
160,开远仙人洞坡风电场扩建,开远仙人洞坡风电场扩建项目,335,云南省,红河州,开远市,,开远仙人洞坡风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,335MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,已完成
161,元江羊岔街风电场二期,元江羊岔街风电场扩建项目,50,云南省,玉溪市,元江县,,元江羊岔街风电场扩建二期,https://new.qq.com/rain/a/20260210A0779Q00,50MW,https://new.qq.com/rain/a/20260210A0779Q00,高,已完成
162,宣威西泽风电场二期,宣威西泽风电场扩建项目,50,云南省,曲靖市,宣威市,,宣威西泽风电场扩建二期,https://new.qq.com/rain/a/20260210A0779Q00,50MW,https://new.qq.com/rain/a/20260210A0779Q00,高,已完成
163,大姚老尖山风电场扩建,大姚老尖山风电场扩建项目,75,云南省,楚雄州,大姚县,,大姚老尖山风电场扩建,https://news.bjx.com.cn/html/20241127/1413239.shtml,75MW,https://news.bjx.com.cn/html/20241127/1413239.shtml,高,已完成
164,个旧猴子山风电场扩建,个旧猴子山风电场扩建项目,50,云南省,红河州,个旧市,,个旧猴子山风电场扩建,https://news.bjx.com.cn/html/20250106/1421073.shtml,50MW,https://news.bjx.com.cn/html/20250106/1421073.shtml,高,已完成
165,富源南冲风电场,富源南冲风电场项目,62.5,云南省,曲靖市,富源县,,富源南冲风电场,https://www.cpnn.com.cn/news/dfny/202602/t20260211_1866813.html,62.5MW,https://www.cpnn.com.cn/news/dfny/202602/t20260211_1866813.html,高,已完成
166,洱源罗平山风电场改造升级,洱源罗平山风电场改造升级项目,144,云南省,大理州,洱源县,,洱源罗平山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,144MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
167,洱源骑龙山风电场改造升级,洱源骑龙山风电场改造升级项目,144.75,云南省,大理州,洱源县,,洱源骑龙山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,144.75MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
168,洱源丰乐风电场改造升级,洱源丰乐风电场改造升级项目,100,云南省,大理州,洱源县,,洱源丰乐风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
169,永胜阿谷子风电场改造升级,永胜阿谷子风电场改造升级项目,100,云南省,丽江市,永胜县,,永胜阿谷子风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
170,华坪西风电场改造升级,华坪西风电场改造升级项目,100,云南省,丽江市,华坪县,,华坪西风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
171,富源北风电场三期,富源北风电场三期项目,100,云南省,曲靖市,富源县,,富源北风电场三期,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
172,昆明西山区孝母山风电场改造,昆明孝母山风电场改造升级项目,100,云南省,昆明市,西山区,,昆明孝母山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,已完成
173,南华官庄风电场,南华官庄风电场项目,50,云南省,楚雄州,南华县,,南华官庄风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,已完成
174,大姚叭腊么风电场,大姚叭腊么风电场项目,50,云南省,楚雄州,大姚县,,大姚叭腊么风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,已完成
175,宁蒗湾钩梁子风电场,宁蒗湾钩梁子风电场项目,50,云南省,丽江市,宁蒗县,,宁蒗湾钩梁子风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,已完成
176,红河白石岩风电场一期,红河白石岩风电场一期,70,云南省,红河州,,,红河白石岩风电场一期,https://www.sohu.com/a/1009604074_121956424,70MW,https://www.sohu.com/a/1009604074_121956424,高,已完成
177,红河白石岩风电场二区,红河白石岩风电场二区,55,云南省,红河州,,,红河白石岩风电场二区,https://www.sohu.com/a/1009604074_121956424,55MW,https://www.sohu.com/a/1009604074_121956424,高,已完成
178,富源西四期风电场,富源西四期风电场项目,140.7,云南省,曲靖市,富源县,,富源西四期风电场,https://news.bjx.com.cn/topics/yunnan/,140.7MW,https://news.bjx.com.cn/topics/yunnan/,高,已完成
179,永宁风电场四期,永宁风电场四期项目,50,云南省,红河州,弥勒市,,永宁风电场四期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,已完成
180,文笔山风电场二期,文笔山风电场扩建二期项目,50,云南省,红河州,,,文笔山风电场二期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,已完成
181,三棵山风电场,三棵山风电场项目,50,云南省,,,三棵山风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实
182,山冲风电场,山冲风电场项目,50,云南省,,,山冲风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实
183,永宁风电场,永宁风电场项目,750,云南省,红河州,泸西县/弥勒市,,永宁风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,750MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,高,已完成
184,砚山天马山风电场二期,砚山天马山风电场二期,50,云南省,文山州,砚山县,,砚山天马山风电场二期,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,高,已完成
185,开远剑角峰风电场扩建,开远剑角峰风电场扩建项目,50,云南省,红河州,开远市,,开远剑角峰风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,已完成
186,宁蒗火木梁风电场扩建,宁蒗火木梁风电场扩建项目,50,云南省,丽江市,宁蒗县,,宁蒗火木梁风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,已完成
187,寻甸马桑井风电场扩建,寻甸马桑井风电场扩建项目,50,云南省,曲靖市,寻甸县,,寻甸马桑井风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,已完成
188,新平联兴风电场三期,新平联兴风电场三期项目,50,云南省,玉溪市,新平县,,新平联兴风电场三期,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,已完成
189,果东风电场,果东风电场项目,50,云南省,楚雄州,,,果东风电场,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,已完成
190,万溪冲风电场,万溪冲风电场项目,50,云南省,昆明市,,,万溪冲风电场,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,已完成
191,云甸零碳园区风电场一期,云甸零碳园区风电场一期项目,50,云南省,楚雄州,楚雄市,,云甸零碳园区风电场一期,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,已完成
192,富源西五期风电场,富源西风电场五期项目,160.8,云南省,曲靖市,富源县,,富源西风电场五期,https://www.sohu.com/a/817496015_121106902,160.8MW,https://www.sohu.com/a/817496015_121106902,高,已完成
193,永宁风电场泸西片区,永宁风电场泸西片区扩建项目,50,云南省,红河州,泸西县,,永宁风电场泸西片区,https://so.html5.qq.com/page/real/search_news?docid=70000021_88365802efa30452,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_88365802efa30452,高,已完成
194,通泉北风电场,通泉北风电场项目,50,云南省,曲靖市,马龙区,,通泉北风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_418659e776391552,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_418659e776391552,中,待核实
195,广南新华风电场,广南新华风电场项目,50,云南省,文山州,广南县,,广南新华风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,高,已完成
196,富宁那来风电场扩建,富宁那来风电场扩建项目,50,云南省,文山州,富宁县,,富宁那来风电场扩建,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,高,已完成
197,祥云西山风电场,祥云西山风电场项目,50,云南省,大理州,祥云县,,祥云西山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_067694fb90782252,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_067694fb90782252,高,已完成
198,新桥风电场,新桥风电场项目,50,云南省,,,新桥风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实
199,会泽金钟风电场二期,会泽金钟风电场二期项目,50.4,云南省,曲靖市,会泽县,,会泽金钟风电场二期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50.4MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,已完成
