序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
79,楚雄柳树冲光伏,楚雄柳树冲光伏发电站,120,云南省,楚雄州,楚雄市,东瓜镇,楚雄柳树冲光伏发电站,https://mguangfu.bjx.com.cn/mnews/20220616/1233709.shtml,120MW,https://mguangfu.bjx.com.cn/mnews/20220616/1233709.shtml,高,地理编码成功,东瓜镇,101.50903,25.07604,success: detail_address
80,楚雄罗杞打光伏,楚雄罗杞打光伏发电站,60,云南省,楚雄州,楚雄市,子午镇,楚雄罗杞打光伏发电站,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,60MW,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,高,地理编码成功,云南省楚雄州楚雄市子午镇,101.53256,24.89213,success: province_city_district_detail
81,楚雄云龙北光伏,楚雄云龙北光伏发电站,40,云南省,楚雄州,楚雄市,子午镇,楚雄云龙北光伏发电站,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,40MW,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,高,地理编码成功,云南省楚雄州楚雄市子午镇,101.53256,24.89213,success: province_city_district_detail
82,楚雄云龙南光伏,楚雄云龙南光伏发电站,40,云南省,楚雄州,楚雄市,子午镇,楚雄云龙南光伏发电站,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,40MW,https://www.163.com/dy/article/HCLRSB8T0525BL3J.html,高,地理编码成功,云南省楚雄州楚雄市子午镇,101.53256,24.89213,success: province_city_district_detail
83,楚雄太苏石头光伏,楚雄太苏石头光伏发电站,105,云南省,楚雄州,楚雄市,苍岭镇,楚雄太苏石头光伏发电站,http://union.china.com.cn/txt/2024-11/26/content_42972490.html,105MW,http://union.china.com.cn/txt/2024-11/26/content_42972490.html,高,地理编码成功,苍岭镇,101.67684,25.0513,success: detail_address
84,西畴吉安光伏,西畴吉安农光互补光伏电站,100,云南省,文山州,西畴县,云南省文山州西畴县,西畴吉安农光互补光伏电站,https://www.sohu.com/a/977306856_121613636,100MW,https://www.sohu.com/a/977306856_121613636,高,地理编码成功,云南省文山州西畴县,104.66671,23.43541,success: detail_address
85,西畴集中式光伏,西畴集中式光伏发电站,100,云南省,文山州,西畴县,云南省文山州西畴县,西畴集中式光伏发电站,https://www.nengyuanjie.net/channel/6.html?&page=18,100MW,https://www.nengyuanjie.net/channel/6.html?&page=18,高,地理编码成功,云南省文山州西畴县,104.66671,23.43541,success: detail_address
86,开远那依光伏,开远那依光伏发电站,64,云南省,红河州,开远市,云南省红河州开远市,开远那依光伏发电站,https://so.html5.qq.com/page/real/search_news?docid=70000021_83268a6ff3366152,64MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_83268a6ff3366152,高,地理编码成功,云南省红河州开远市,103.2725,23.71539,success: detail_address
87,开远小石岩光伏,开远小石岩光伏发电站,55,云南省,红河州,开远市,云南省红河州开远市,开远小石岩光伏发电站,https://so.html5.qq.com/page/real/search_news?docid=70000021_83268a6ff3366152,55MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_83268a6ff3366152,高,地理编码成功,云南省红河州开远市,103.2725,23.71539,success: detail_address
88,弥勒大麦潭光伏,弥勒大麦潭光伏发电站,90,云南省,红河州,弥勒市,西二镇,弥勒大麦潭光伏发电站,https://www.sohu.com/a/684491718_121471433,90MW,https://www.sohu.com/a/684491718_121471433,高,地理编码成功,西二镇,103.17716,24.42468,success: detail_address
89,弥勒大黑土光伏,弥勒大黑土光伏发电站,220,云南省,红河州,弥勒市,五山乡/西二镇,弥勒大黑土光伏发电站,https://www.sohu.com/a/788794795_121471433,220MW,https://www.sohu.com/a/788794795_121471433,高,地理编码成功,云南省红河州弥勒市五山乡/西二镇,103.20948,24.17353,success: province_city_district_detail
90,弥勒杨柳寨光伏,弥勒杨柳寨光伏发电站,,云南省,红河州,弥勒市,巡检司镇,弥勒杨柳寨光伏发电站,http://www.hh.gov.cn/info/9331/1143152.htm,,http://www.hh.gov.cn/info/9331/1143152.htm,中,地理编码成功,巡检司镇,103.1836,23.96252,success: detail_address
91,弥勒东风生态园光伏,弥勒东风生态园光伏发电站,,云南省,红河州,弥勒市,云南省红河州弥勒市,弥勒东风生态园光伏发电站,https://mguangfu.bjx.com.cn/topics/mlsdfstygffd/,,https://mguangfu.bjx.com.cn/topics/mlsdfstygffd/,中,地理编码成功,云南省红河州弥勒市,103.42951,24.41097,success: detail_address
92,泸西大歹鲁光伏,泸西大歹鲁光伏发电站,37.8,云南省,红河州,泸西县,向阳乡,泸西大歹鲁光伏发电站,https://www.hh.gov.cn/info/9341/827982.htm,37.8MW,https://www.hh.gov.cn/info/9341/827982.htm,高,地理编码成功,向阳乡,103.89115,24.49363,success: detail_address
93,泸西孔照普光伏,泸西孔照普光伏发电站,,云南省,红河州,泸西县,云南省红河州泸西县,泸西孔照普光伏发电站,https://news.bjx.com.cn/html/20240815/1395050.shtml,,https://news.bjx.com.cn/html/20240815/1395050.shtml,中,地理编码成功,云南省红河州泸西县,103.75154,24.55137,success: detail_address
94,泸西白水扶贫光伏,泸西白水村级光伏扶贫电站,3.4,云南省,红河州,泸西县,白水镇,泸西白水村级光伏扶贫电站,https://m.yunnan.cn/system/2021/10/18/031716974.shtml,3.4MW,https://m.yunnan.cn/system/2021/10/18/031716974.shtml,高,地理编码成功,云南省红河州泸西县白水镇,103.86041,24.64035,success: province_city_district_detail
95,个旧背阴山光伏,个旧背阴山尾矿库分布式光伏,15,云南省,红河州,个旧市,老厂镇,个旧背阴山尾矿库分布式光伏,https://www.sohu.com/a/881983137_122094388,15MW,https://www.sohu.com/a/881983137_122094388,高,地理编码成功,云南省红河州个旧市老厂镇,103.186592,23.347958,success: province_city_district_detail
96,个旧云锡尾矿库光伏,个旧云锡尾矿库光伏发电站,160,云南省,红河州,个旧市,老厂镇,个旧云锡尾矿库光伏发电站,https://www.toutiao.com/topic/7492625208952784937/,160MW,https://www.toutiao.com/topic/7492625208952784937/,高,地理编码成功,云南省红河州个旧市老厂镇,103.186592,23.347958,success: province_city_district_detail
97,个旧分布式光伏,个旧分布式光伏发电项目,,云南省,红河州,个旧市,多个乡镇,个旧分布式光伏发电项目,https://www.kesolar.com/headline/275041.html,,https://www.kesolar.com/headline/275041.html,高,地理编码成功,云南省红河州个旧市多个乡镇,103.152353,23.362357,success: province_city_district_detail
98,石屏村级扶贫光伏,石屏县村级光伏扶贫电站,3.1,云南省,红河州,石屏县,5个乡镇31个村,石屏县村级光伏扶贫电站,http://mguangfu.bjx.com.cn/mnews/20191231/1032707.shtml,3.1MW,http://mguangfu.bjx.com.cn/mnews/20191231/1032707.shtml,高,地理编码成功,云南省红河州石屏县5个乡镇31个村,102.48503,23.7103,success: province_city_district_detail
99,建水南庄光伏,建水南庄光伏发电站,300,云南省,红河州,建水县,南庄镇,建水南庄光伏发电站,https://www.sohu.com/a/30956365_162758,300MW,https://www.sohu.com/a/30956365_162758,高,地理编码成功,云南省红河州建水县南庄镇,102.83996,23.70378,success: province_city_district_detail
100,建水下海尾光伏,建水下海尾光伏发电站,50,云南省,红河州,建水县,云南省红河州建水县,建水下海尾光伏发电站,http://www.ynyisheng.net/newsdetail_76.htm,50MW,http://www.ynyisheng.net/newsdetail_76.htm,高,地理编码成功,云南省红河州建水县,102.8278,23.63752,success: detail_address
101,建水麻栗树光伏,建水麻栗树光伏发电站,,云南省,红河州,建水县,云南省红河州建水县,建水麻栗树光伏发电站,http://www.hh.gov.cn/info/9351/1153302.htm,,http://www.hh.gov.cn/info/9351/1153302.htm,中,地理编码成功,云南省红河州建水县,102.8278,23.63752,success: detail_address
102,元谋平新光伏,元谋平新复合型光伏基地,450,云南省,楚雄州,元谋县,平田乡/新华乡,元谋平新复合型光伏基地,https://www.sohu.com/a/791760653_121613636,450MW,https://www.sohu.com/a/791760653_121613636,高,地理编码成功,平田乡/新华乡,101.67012,25.71719,success: detail_address
103,元谋物茂光伏,元谋物茂复合型光伏项目,550,云南省,楚雄州,元谋县,物茂乡,元谋物茂复合型光伏项目,http://www.cxz.gov.cn/info/1026/37599.htm,550MW,http://www.cxz.gov.cn/info/1026/37599.htm,高,地理编码成功,物茂乡,101.78886,25.87224,success: detail_address
104,元谋马头地光伏,元谋马头地光伏发电站,,云南省,楚雄州,元谋县,云南省楚雄州元谋县,元谋马头地光伏发电站,http://www.yncxym.gov.cn/info/2353/60792.htm,,http://www.yncxym.gov.cn/info/2353/60792.htm,中,地理编码成功,云南省楚雄州元谋县,101.872274,25.707535,success: detail_address
105,元谋龙山光伏,元谋龙山光伏发电站,,云南省,楚雄州,元谋县,云南省楚雄州元谋县,元谋龙山光伏发电站,http://www.cxz.gov.cn/info/1026/56834.htm,,http://www.cxz.gov.cn/info/1026/56834.htm,中,地理编码成功,云南省楚雄州元谋县,101.872274,25.707535,success: detail_address
106,元谋小雷宰光伏,元谋小雷宰光伏发电站,,云南省,楚雄州,元谋县,云南省楚雄州元谋县,元谋小雷宰光伏发电站,http://www.cxz.gov.cn/info/1026/56834.htm,,http://www.cxz.gov.cn/info/1026/56834.htm,中,地理编码成功,云南省楚雄州元谋县,101.872274,25.707535,success: detail_address
107,元谋猛令沟光伏,元谋猛令沟光伏发电站,,云南省,楚雄州,元谋县,云南省楚雄州元谋县,元谋猛令沟光伏发电站,http://www.cxz.gov.cn/info/1026/56834.htm,,http://www.cxz.gov.cn/info/1026/56834.htm,中,地理编码成功,云南省楚雄州元谋县,101.872274,25.707535,success: detail_address
108,元谋烂秧田光伏,元谋烂秧田光伏发电站,,云南省,楚雄州,元谋县,云南省楚雄州元谋县,元谋烂秧田光伏发电站,http://www.cxz.gov.cn/info/1026/56834.htm,,http://www.cxz.gov.cn/info/1026/56834.htm,中,地理编码成功,云南省楚雄州元谋县,101.872274,25.707535,success: detail_address
109,普洱南屏光伏,普洱南屏茶光互补光伏,60,云南省,普洱市,思茅区,南屏镇,普洱南屏茶光互补光伏,https://www.163.com/dy/article/IV10Q2440514R9KQ.html,60MW,https://www.163.com/dy/article/IV10Q2440514R9KQ.html,高,地理编码成功,云南省普洱市思茅区南屏镇,100.95955,22.76444,success: province_city_district_detail
110,镇沅新田光伏,镇沅新田农光互补光伏发电站,120,云南省,普洱市,镇沅县,者东镇,镇沅新田农光互补光伏发电站,https://www.sohu.com/a/844435710_121486622,120MW,https://www.sohu.com/a/844435710_121486622,高,地理编码成功,者东镇,101.27556,24.00142,success: detail_address
111,镇沅麻羊寨光伏,镇沅麻羊寨光伏发电站,20,云南省,普洱市,镇沅县,勐大镇,镇沅麻羊寨光伏发电站,https://guangfu.bjx.com.cn/news/20230906/1330262.shtml,20MW,https://guangfu.bjx.com.cn/news/20230906/1330262.shtml,高,地理编码成功,勐大镇,100.81095,24.04231,success: detail_address
112,镇沅下脚马光伏,镇沅下脚马复合光伏发电站,20,云南省,普洱市,镇沅县,恩乐镇,镇沅下脚马复合光伏发电站,https://www.kesolar.com/headline/254062.html,20MW,https://www.kesolar.com/headline/254062.html,高,地理编码成功,恩乐镇,101.10551,24.00802,success: detail_address
113,永仁华电维的光伏,永仁华电维光伏发电站,40,云南省,楚雄州,永仁县,云南省楚雄州永仁县,永仁华电维光伏发电站,https://www.sohu.com/a/991534258_121119242,40MW,https://www.sohu.com/a/991534258_121119242,高,地理编码成功,云南省楚雄州永仁县,101.681336,26.052774,success: detail_address
114,永仁观音岩光伏,永仁观音岩复合型光伏发电站,100,云南省,楚雄州,永仁县,云南省楚雄州永仁县,永仁观音岩复合型光伏发电站,https://so.html5.qq.com/page/real/search_news?docid=70000021_1936278ec3735352&faker=1,100MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_1936278ec3735352&faker=1,高,地理编码成功,云南省楚雄州永仁县,101.681336,26.052774,success: detail_address
115,永仁20万千瓦光伏,永仁20万千瓦复合型光伏发电站,200,云南省,楚雄州,永仁县,莲池乡/宜就镇,永仁20万千瓦复合型光伏发电站,https://www.163.com/dy/article/J6891LNV05565EU3.html,200MW,https://www.163.com/dy/article/J6891LNV05565EU3.html,高,地理编码成功,莲池乡/宜就镇,101.6554,26.0235,success: detail_address
116,永仁班别光伏,永仁班别光伏发电站,,云南省,楚雄州,永仁县,维的乡,永仁班别光伏发电站,https://new.qq.com/rain/a/20251120A05O3C00,,https://new.qq.com/rain/a/20251120A05O3C00,高,地理编码成功,维的乡,101.63614,26.1467,success: detail_address
117,永仁鸡田光伏,永仁鸡田光伏发电站,,云南省,楚雄州,永仁县,维的乡,永仁鸡田光伏发电站,https://new.qq.com/rain/a/20251120A05O3C00,,https://new.qq.com/rain/a/20251120A05O3C00,高,地理编码成功,维的乡,101.63614,26.1467,success: detail_address
118,永仁潘古里光伏,永仁潘古里光伏发电站,,云南省,楚雄州,永仁县,维的乡,永仁潘古里光伏发电站,https://new.qq.com/rain/a/20251120A05O3C00,,https://new.qq.com/rain/a/20251120A05O3C00,高,地理编码成功,维的乡,101.63614,26.1467,success: detail_address
119,永仁田房光伏,永仁田房光伏发电站,60,云南省,楚雄州,永仁县,维的乡,永仁田房光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29235-532300-17.html,60MW,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29235-532300-17.html,高,地理编码成功,维的乡,101.63614,26.1467,success: detail_address
120,双柏白玉村光伏,双柏白玉村光伏发电站,250,云南省,楚雄州,双柏县,大庄镇,双柏白玉村光伏发电站,https://www.sohu.com/a/836464941_121119242,250MW,https://www.sohu.com/a/836464941_121119242,高,地理编码成功,云南省楚雄州双柏县大庄镇,101.883306,24.759356,success: province_city_district_detail
121,双柏大庄并网光伏,双柏大庄并网光伏发电站,,云南省,楚雄州,双柏县,大庄镇,双柏大庄并网光伏发电站,https://so.html5.qq.com/page/real/search_news?docid=70000021_996625557c824252&faker=1,,https://so.html5.qq.com/page/real/search_news?docid=70000021_996625557c824252&faker=1,高,地理编码成功,云南省楚雄州双柏县大庄镇,101.883306,24.759356,success: province_city_district_detail
122,双柏干海资一期光伏,双柏干海资一期复合光伏发电站,200,云南省,楚雄州,双柏县,云南省楚雄州双柏县,双柏干海资一期复合光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29231-2611.html,200MW,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29231-2611.html,高,地理编码成功,云南省楚雄州双柏县,101.637171,24.689386,success: detail_address
123,双柏万德村光伏,双柏万德村光伏发电站,150,云南省,楚雄州,双柏县,云南省楚雄州双柏县,双柏万德村光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29231-2611.html,150MW,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-29231-2611.html,高,地理编码成功,云南省楚雄州双柏县,101.637171,24.689386,success: detail_address
124,双柏青香树光伏,双柏青香树二期光伏发电站,120,云南省,楚雄州,双柏县,云南省楚雄州双柏县,双柏青香树二期光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-31235-532300.html,120MW,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-31235-532300.html,高,地理编码成功,云南省楚雄州双柏县,101.637171,24.689386,success: detail_address
125,双柏石头光伏,双柏石头光伏发电站,,云南省,楚雄州,双柏县,云南省楚雄州双柏县,双柏石头光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-1135-532300-1.html,,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-1135-532300-1.html,高,地理编码成功,云南省楚雄州双柏县,101.637171,24.689386,success: detail_address
126,牟定旧村光伏,牟定旧村光伏发电站,35,云南省,楚雄州,牟定县,安乐乡/戌街乡,牟定旧村光伏发电站,https://finance.sina.com.cn/jjxw/2024-06-30/doc-incapimf2535569.shtml,35MW,https://finance.sina.com.cn/jjxw/2024-06-30/doc-incapimf2535569.shtml,高,地理编码成功,安乐乡/戌街乡,101.6724,25.47338,success: detail_address
127,牟定安下光伏,牟定安下村光伏发电站,27,云南省,楚雄州,牟定县,云南省楚雄州牟定县,牟定安下村光伏发电站,https://www.cinn.cn/p/357744.html,27MW,https://www.cinn.cn/p/357744.html,高,地理编码成功,云南省楚雄州牟定县,101.55041,25.30894,success: detail_address
128,牟定下村光伏,牟定下村光伏发电站,15,云南省,楚雄州,牟定县,安乐乡,牟定下村光伏发电站,https://guangfu.bjx.com.cn/news/20250208/1425955.shtml,15MW,https://guangfu.bjx.com.cn/news/20250208/1425955.shtml,高,地理编码成功,安乐乡,101.6724,25.47338,success: detail_address
129,牟定戌街光伏,牟定戌街光伏发电站,222,云南省,楚雄州,牟定县,戌街乡,牟定戌街光伏发电站,https://guangfu.bjx.com.cn/news/20220726/1244029.shtml,222MW,https://guangfu.bjx.com.cn/news/20220726/1244029.shtml,高,地理编码成功,戌街乡,101.67217,25.5805,success: detail_address
130,牟定安乐光伏,牟定安乐乡光伏发电站,152,云南省,楚雄州,牟定县,安乐乡,牟定安乐乡光伏发电站,https://guangfu.bjx.com.cn/news/20220726/1244029.shtml,152MW,https://guangfu.bjx.com.cn/news/20220726/1244029.shtml,高,地理编码成功,安乐乡,101.6724,25.47338,success: detail_address
131,牟定旧村40MW光伏,牟定旧村40MW光伏发电站,40,云南省,楚雄州,牟定县,凤屯镇,牟定旧村40MW光伏发电站,https://newenergy.in-en.com/html/newenergy-2449372.shtml,40MW,https://newenergy.in-en.com/html/newenergy-2449372.shtml,高,地理编码成功,凤屯镇,101.45762,25.25345,success: detail_address
132,牟定村级扶贫光伏,牟定县村级光伏扶贫电站,5.536,云南省,楚雄州,牟定县,云南省楚雄州牟定县,牟定县村级光伏扶贫电站,https://www.bidcenter.com.cn/newscontent-76549284-1.html,5.536MW,https://www.bidcenter.com.cn/newscontent-76549284-1.html,高,地理编码成功,云南省楚雄州牟定县,101.55041,25.30894,success: detail_address
133,武定田心光伏,武定田心光伏发电站,,云南省,楚雄州,武定县,田心镇,武定田心光伏发电站,https://news.bjx.com.cn/html/20211217/1194292.shtml,,https://news.bjx.com.cn/html/20211217/1194292.shtml,高,地理编码成功,云南省楚雄州武定县田心镇,102.18934,25.82124,success: province_city_district_detail
134,武定大新庄光伏,武定大新庄光伏发电站,40,云南省,楚雄州,武定县,狮山镇,武定大新庄光伏发电站,http://www.cepca.org.cn/news/show-24832.html,40MW,http://www.cepca.org.cn/news/show-24832.html,高,地理编码成功,云南省楚雄州武定县狮山镇,102.40363,25.54146,success: province_city_district_detail
135,武定上碗厂光伏,武定上碗厂光伏发电站,40,云南省,楚雄州,武定县,狮山镇,武定上碗厂光伏发电站,http://www.cepca.org.cn/news/show-24832.html,40MW,http://www.cepca.org.cn/news/show-24832.html,高,地理编码成功,云南省楚雄州武定县狮山镇,102.40363,25.54146,success: province_city_district_detail
136,武定小石板沟光伏,武定小石板沟光伏发电站,25,云南省,楚雄州,武定县,狮山镇,武定小石板沟光伏发电站,http://www.cepca.org.cn/news/show-24832.html,25MW,http://www.cepca.org.cn/news/show-24832.html,高,地理编码成功,云南省楚雄州武定县狮山镇,102.40363,25.54146,success: province_city_district_detail
137,武定万德村光伏,武定万德村光伏发电站,150,云南省,楚雄州,武定县,狮山镇,武定万德村光伏发电站,https://guangfu.bjx.com.cn/news/20211129/1190627.shtml,150MW,https://guangfu.bjx.com.cn/news/20211129/1190627.shtml,高,地理编码成功,云南省楚雄州武定县狮山镇,102.40363,25.54146,success: province_city_district_detail
138,武定整县分布式光伏,武定整县屋顶分布式光伏发电站,118,云南省,楚雄州,武定县,云南省楚雄州武定县,武定整县屋顶分布式光伏发电站,https://guangfu.bjx.com.cn/news/20240110/1355154.shtml,118MW,https://guangfu.bjx.com.cn/news/20240110/1355154.shtml,高,地理编码成功,云南省楚雄州武定县,102.40363,25.54146,success: detail_address
139,武定磨盘山光伏,武定磨盘山光伏发电站,,云南省,楚雄州,武定县,狮山镇,武定磨盘山光伏发电站,https://guangfu.bjx.com.cn/news/20221228/1279414.shtml,,https://guangfu.bjx.com.cn/news/20221228/1279414.shtml,高,地理编码成功,云南省楚雄州武定县狮山镇,102.40363,25.54146,success: province_city_district_detail
140,禄丰小松棵光伏,禄丰小松棵光伏发电站,70,云南省,楚雄州,禄丰市,碧城镇,禄丰小松棵光伏发电站,https://solar.in-en.com/html/solar-2448633.shtml,70MW,https://solar.in-en.com/html/solar-2448633.shtml,高,地理编码成功,碧城镇,102.29995,25.30905,success: detail_address
141,禄丰桃园光伏,禄丰桃园光伏发电站,220,云南省,楚雄州,禄丰市,和平镇,禄丰桃园光伏发电站,https://guangfu.bjx.com.cn/news/20230912/1331398.shtml,220MW,https://guangfu.bjx.com.cn/news/20230912/1331398.shtml,高,地理编码成功,云南省楚雄州禄丰市和平镇,102.221327,25.213764,success: province_city_district_detail
142,禄丰矣得乐光伏,禄丰矣得乐光伏发电站,85,云南省,楚雄州,禄丰市,黑井镇,禄丰矣得乐光伏发电站,http://ghidri.powerchina.cn/col6609/art/2024/art_6609_1861563.html,85MW,http://ghidri.powerchina.cn/col6609/art/2024/art_6609_1861563.html,高,地理编码成功,黑井镇,101.74413,25.37271,success: detail_address
143,禄丰老延家光伏,禄丰老延家光伏发电站,35,云南省,楚雄州,禄丰市,黑井镇,禄丰老延家光伏发电站,http://ghidri.powerchina.cn/col6609/art/2024/art_6609_1861563.html,35MW,http://ghidri.powerchina.cn/col6609/art/2024/art_6609_1861563.html,高,地理编码成功,黑井镇,101.74413,25.37271,success: detail_address
144,禄丰麦子地光伏,禄丰麦子地光伏发电站,25.6,云南省,楚雄州,禄丰市,仁兴镇,禄丰麦子地光伏发电站,https://solar.in-en.com/html/solar-2420549.shtml,25.6MW,https://solar.in-en.com/html/solar-2420549.shtml,高,地理编码成功,云南省楚雄州禄丰市仁兴镇,102.22932,25.379468,success: province_city_district_detail
145,禄丰高峰光伏,禄丰高峰光伏发电站,120,云南省,楚雄州,禄丰市,云南省楚雄州禄丰市,禄丰高峰光伏发电站,https://ynlf.gov.cn/info/3103/78914.htm,120MW,https://ynlf.gov.cn/info/3103/78914.htm,高,地理编码成功,云南省楚雄州禄丰市,102.069519,25.145587,success: detail_address
146,禄丰绵羊龙光伏,禄丰绵羊龙光伏发电站,100,云南省,楚雄州,禄丰市,云南省楚雄州禄丰市,禄丰绵羊龙光伏发电站,http://www.ynlf.gov.cn/info/3751/96551.htm,100MW,http://www.ynlf.gov.cn/info/3751/96551.htm,高,地理编码成功,云南省楚雄州禄丰市,102.069519,25.145587,success: detail_address
147,南华陆家垭口光伏,南华陆家垭口复合型光伏发电站,340,云南省,楚雄州,南华县,一街乡/罗武庄乡,南华陆家垭口复合型光伏发电站,https://news.sina.com.cn/zx/gj/2024-12-03/doc-incyezvp1407266.shtml,340MW(190MW+150MW),https://news.sina.com.cn/zx/gj/2024-12-03/doc-incyezvp1407266.shtml,高,地理编码成功,一街乡/罗武庄乡,100.76668,25.11612,success: detail_address
148,南华罗武庄光伏,南华罗武庄光伏发电站,240,云南省,楚雄州,南华县,罗武庄乡,南华罗武庄光伏发电站,https://guangfu.bjx.com.cn/news/20240708/1387615.shtml,240MW,https://guangfu.bjx.com.cn/news/20240708/1387615.shtml,高,地理编码成功,罗武庄乡,100.76668,25.11612,success: detail_address
149,南华独田箐光伏,南华独田箐光伏发电站,90,云南省,楚雄州,南华县,云南省楚雄州南华县一街乡平掌村及田房村,南华独田箐光伏发电站,https://finance.sina.com.cn/jjxw/2024-07-05/doc-inccccrx7086614.shtml,90MW,https://finance.sina.com.cn/jjxw/2024-07-05/doc-inccccrx7086614.shtml,高,地理编码成功,云南省楚雄州南华县,101.286123,25.20878,success: detail_address
150,南华5万千瓦光伏,南华5万千瓦光伏发电站,50,云南省,楚雄州,南华县,龙川镇,南华5万千瓦光伏发电站,https://www.ybzhan.cn/news/detail/109237.html,50MW,https://www.ybzhan.cn/news/detail/109237.html,高,地理编码成功,云南省楚雄州南华县龙川镇,101.286123,25.20878,success: province_city_district_detail
151,姚安弥兴光伏,姚安弥兴光伏发电站,130,云南省,楚雄州,姚安县,弥兴镇,姚安弥兴光伏发电站,https://guangfu.bjx.com.cn/news/20230330/1297953.shtml,130MW,https://guangfu.bjx.com.cn/news/20230330/1297953.shtml,高,地理编码成功,弥兴镇,101.15369,25.4064,success: detail_address
152,姚安马游光伏,姚安马游光伏发电站,180,云南省,楚雄州,姚安县,弥兴镇/官屯镇,姚安马游光伏发电站,https://www.kesolar.com/headline/239088.html,180MW,https://www.kesolar.com/headline/239088.html,高,地理编码成功,弥兴镇/官屯镇,101.15369,25.4064,success: detail_address
153,姚安吴海光伏,姚安吴海光伏发电站,20,云南省,楚雄州,姚安县,栋川镇,姚安吴海光伏发电站,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,20MW,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,高,地理编码成功,栋川镇,101.23535,25.50862,success: detail_address
154,姚安路光互补光伏,姚安路光互补分布式光伏,505,云南省,楚雄州,姚安县,草海工业园区,姚安路光互补分布式光伏,https://guangfu.bjx.com.cn/news/20230414/1301054.shtml,505MW,https://guangfu.bjx.com.cn/news/20230414/1301054.shtml,高,地理编码成功,草海工业园区,101.23069,25.56511,success: detail_address
155,大姚小黑箐光伏,大姚小黑箐光伏发电站,50,云南省,楚雄州,大姚县,三台乡,大姚小黑箐光伏发电站,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,50MW,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,高,地理编码成功,三台乡,101.07786,26.01204,success: detail_address
156,大姚坛罐窑光伏,大姚坛罐窑光伏发电站,60,云南省,楚雄州,大姚县,金碧镇,大姚坛罐窑光伏发电站,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,60MW,http://www.sasac.gov.cn/n2588025/n2588124/c29563800/content.html,高,地理编码成功,云南省楚雄州大姚县金碧镇,101.322344,25.716597,success: province_city_district_detail
157,大姚博厚村光伏,大姚博厚村光伏发电站,45,云南省,楚雄州,大姚县,三台乡,大姚博厚村光伏发电站,https://solar.in-en.com/html/solar-2450625.shtml,45MW,https://solar.in-en.com/html/solar-2450625.shtml,高,地理编码成功,三台乡,101.07786,26.01204,success: detail_address
158,大姚大平地光伏,大姚大平地光伏发电站,100,云南省,楚雄州,大姚县,龙街镇,大姚大平地光伏发电站,https://www.163.com/dy/article/IB7P972H05199H27.html,100MW,https://www.163.com/dy/article/IB7P972H05199H27.html,高,地理编码成功,龙街镇,101.54169,25.6687,success: detail_address
159,大姚52.3万千瓦光伏基地,大姚52.3万千瓦光伏发电站,523,云南省,楚雄州,大姚县,石羊镇/新街镇,大姚52.3万千瓦光伏发电站,https://new.qq.com/rain/a/20240716A07BL700,523MW,https://new.qq.com/rain/a/20240716A07BL700,高,地理编码成功,云南省楚雄州大姚县石羊镇/新街镇,101.322344,25.716597,success: province_city_district_detail
160,大姚启兴光伏,大姚启兴光伏发电站,,云南省,楚雄州,大姚县,赵家店镇,大姚启兴光伏发电站,https://new.qq.com/rain/a/20251220A02JUQ00,,https://new.qq.com/rain/a/20251220A02JUQ00,高,地理编码成功,赵家店镇,101.4906,25.82128,success: detail_address
161,砚山平远小石岩光伏,砚山平远小石岩光伏发电站,,云南省,文山州,砚山县,平远镇,砚山平远小石岩光伏发电站,http://www.news.cn/power/2023-04/11/c_1212007397.htm,,http://www.news.cn/power/2023-04/11/c_1212007397.htm,高,地理编码成功,平远镇,103.78413,23.74905,success: detail_address
