交易名称,企业名称,所属集团,电源类型,装机容量MW
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇戈必村委会黑麦地村 周志华）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村方家坪子社19号王周云）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（崇溪乡河玉村梁子社6号刘万平）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇高田村委会毛加坝村 陈朝志）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村大湾子社24号龙德能）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇江外村委会可格村 张德元）,京能（昆明）新能源有限公司,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇江格村委会下袜笼村 白志申）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村半坡社25号罗跃才）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇江格村委会戈宜村 范绍明）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村沟边社32号骆崇富）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（仁德镇和平村委会王家村 李院刚）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所陆家坪社3号吴文亮）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇共和村老街社9号骆文顺）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村大山社25号潘永洪）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（仁德镇和平村委会新村 马发荣）,京能（昆明）新能源有限公司,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇江格村委会发达大村 张学富）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇共和村田上社3号吕兴荣）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（仁德镇和平村委会李家坡村 徐飞龙）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇崇溪村郑家村社1号王永朝）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇七星村委会扯乃村 邱谷才 ）,京能（昆明）新能源有限公司,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（仁德镇和平村委会新村 丁恒勇）,京能（昆明）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市昭阳区巧家县崇溪乡南团村公所一碗井社2号陶兴珍）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市昭阳区巧家县崇溪乡南团村公所田坝社25号张崇孝）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡老屋村公所易家山社2号何启德）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村公所一碗井社4号程相学）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南昆明寻甸县七星7.16MW分布式光伏项目（七星镇江格村委会上袜笼村 朱兴洪）,京能（昆明）新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（大雪山彝族拉祜族傣族乡团山村曼懂三组1号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡花山村团田社17号黎永福）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村方家坪子社6号王周乾）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（小勐统镇大垭口村新村组01号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇南团村程家湾社5号程信书）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇共和村石门坎社5号王发林）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所腰岩社1号陈天饶）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村火干梁子社52号孙天贵）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇共和村老街社18号李世兵）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇共和村野鸭社15号邓先贵）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县白鹤滩镇大沟村包家沟社10号包正奎）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村水井湾社3号雷万金）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村毛家营社13号钟启贵）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇河玉村小岩头社21号雷兴朝）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇共和村闸塘社30号张忠发）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村火干梁子社36号孙天华）,云南电网有限责任公司昭通巧家供电局,,无,0
380V峨山县分布式光伏发电项目（一期）（岔河乡安居村委会安居村村委会楼顶安居村委会办公楼）,中电建（峨山）新能源有限公司,,无,0
380V峨山县分布式光伏发电项目（一期）（岔河乡文山村委会文山小学1）,中电建（峨山）新能源有限公司,,无,0
380V峨山县分布式光伏发电项目（一期）（双江街道办事处新村村委会新村学校房顶）,中电建（峨山）新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（乌木龙彝族乡扎摸村大门寨组46号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村科车社61号高守洪）,云南电网有限责任公司昭通巧家供电局,,无,0
380V峨山县分布式光伏发电项目（一期）（小街街道办事处永昌社区居委会永昌四组民事房）,中电建（峨山）新能源有限公司,,无,0
380V峨山县分布式光伏发电项目（一期）（小街街道办事处由义区居委会由义党群服务中心）,中电建（峨山）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村籽油树社6号高守禄）,云南电网有限责任公司昭通巧家供电局,,无,0
380V峨山县分布式光伏发电项目（一期）（小街街道办事处石邑社区居委会石邑社区）,中电建（峨山）新能源有限公司,,无,0
380V峨山县分布式光伏发电项目（一期）（小街镇小街村委会政府院内电动汽车充电桩变）,中电建（峨山）新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（勐板乡户丫村大洼子一组1号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡花山村官寨社51号彭德富）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇崇溪村营脚社2号唐正发）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇南团村火地社10号徐大英）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪乡老屋村大湾子社11号苟德富）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇苟家坪陈昌顺）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇共和村龙树社2号杨文美）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所林家坪社8号罗远会）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所大垭口社25号陈兴珍）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所水树社16号李守传 ）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇南团村张家河边社17号万贵元）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所大垭口社3号安贵付）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇共和村伙房社1号王发华）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村周家坪社27号雷兴田）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村老伙房社1号王进成）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（江川区九溪镇九溪大村）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村老伙房社14号王进兆）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡河玉村麦子坪社16号李世红）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇喜乐庄村）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇南团村水塘社10号何六秀）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家崇溪镇花山村黄泥坪社3号胡正明）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇河玉村闸塘社14号江世钱）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡马洪村糖房社44号文朝能）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街街道早街村烤烟房）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（巧家县崇溪镇共和村李家湾社4号张忠顺）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（区政府）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（崇溪乡花山村陈酒坊社22号黎永翠）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡河玉村麦子坪社5号冯善荣）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街街道抚仙路星云铭城）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村老伙房社20号王德迁）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇大营村委会九溪供销社综合门市）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇安居村公所锄头沟社20号胡斗明）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（大山乡笼楂村打龙寨组6号）,永德云昱新能源科技有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇大营村委会太和小学屋顶）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道办事处小白坡村委会天井凹烤烟房）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇安居村公所锄头沟社17号胡明祥）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道办事处宁海社区居委会小白坡唐磨德烤烟房）,中电建（江川）新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（崇岗乡军捞村榨房沟组123号）,永德云昱新能源科技有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道海浒社区下一村烤烟房）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道办事处宁海社区居委会旧州三组烤烟房）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡柏木村公所小坪子社9号柏兴文）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道办事处伏家营社区居委会旧州三组烤烟房）,中电建（江川）新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（永康镇底卡村麻栗林组12号）,永德云昱新能源科技有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（宁海街道办事处海浒社区居委会马料庄烤烟房）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街镇早街村委会卫生局卫生监督局）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所瓦房社4号陈天美）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街镇早街村委会大庄幼儿园）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街镇大营村委会大营村小学）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡马洪村公所老乡社53号易孝海）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街街道大街社区居委会星云街道宁海路25号）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（大街镇大街社区居委会区镇府停车厂）,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇九溪镇六十亩村）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所中坝社18号程香芝）,云南电网有限责任公司昭通巧家供电局,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇马家庄村委会河口村（河口小学屋顶））,中电建（江川）新能源有限公司,,无,0
380V玉溪市江川区屋顶分布式光伏发电项目（九溪镇九溪中学）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇崇溪村崇溪社11号孙华荣）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所方家坪子社8号胡明忠）,云南电网有限责任公司昭通巧家供电局,,无,0
10kV玉溪市江川区屋顶分布式光伏发电项目（前卫镇赵官村委会龙泉工业园区云南腾达机械制造有限公司）,中电建（江川）新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡马洪村安家坪子社1号张崇才）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所对门山社8号李开聪）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（永康镇忙腊村忙忙二组06号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村泥窝社37号陈维有）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村坝子社30号肖德付）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇干沟村何家湾子社13号李天付）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（勐板乡户丫村新寨组1号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇花山村张家湾社2号李世珍）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇羊棚村公所大木杆社19号王正品）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（德党镇忙见田村忙见田上组11号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇干沟村岩脚社43号段双德）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县贺派乡落阳村委会安明村安明村安明组段朝新&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇干沟村中梁社22号朱安聪）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（永康镇海转村洋孟坝01号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所官寨社13号骆崇兵）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇干沟村碑坪社15号吴昌寿）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所大木杆社2号陈朝明）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（勐底农场红旗山社区场直十八队43号）,永德云昱新能源科技有限公司,,无,0
10kV云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;公墓&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇崇溪村老井社8号管堂聪）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇丙令村委会芒明坡村芒明坡村芒明坡组活动室&#41;,耿马鼎泰新能源有限公司,,无,0
220V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县贺派乡崩弄村委会芒畔村三组公厕&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡羊棚村公所糖房社48号陈祥安）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇新城村委会麻栗树村文体活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇其他开发一区环卫站办公室&#41;,耿马鼎泰新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（崇岗乡崇岗村塘尚林一组5号）,永德云昱新能源科技有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇其他开发二区农科所办公楼&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县农业局车库&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇白马社区耿马县白马社区耿马县工会服务中心&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡背风村公所背风湾社12号沙先云）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（永康镇永和社区茶铺组57号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡马洪村糖房社31号文朝海）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇芒蚌村委会芒东村芒东路口耿马镇森林公安&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇安居村上村社15号郭绍友）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡南团村小科车社8号李清万）,云南电网有限责任公司昭通巧家供电局,,无,0
380V永德县户用屋顶分布式光伏项目（乌木龙彝族乡蕨坝村上寨组20号）,永德云昱新能源科技有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所三家村社13号周宗朝）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县贺派乡班卖村委会班卖村班卖村芒弄组芒弄活动室&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村岩咀咀社4号喻传学）,云南电网有限责任公司昭通巧家供电局,,无,0
10kV云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇芒蚌村委会岔路村耿马水泥磨粉厂旁（垃圾处理厂）&#41;,耿马鼎泰新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（小勐统镇木瓜河村芒果树坝组2号）,永德云昱新能源科技有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐简乡老厂村委会别龙坡村组党员活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐简乡班望村委会砍金山村组党员活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会草皮街村活动室&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡河玉村石板沟社20号王顺金）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡干沟村公所垭口社1号朱仁礼）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会凤平村2组活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会凤平村11组活动室&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡河玉村李家湾社7号罗文金）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会凤平村卫生室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐简乡大寨村委会大寨村胶场活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会那朗村那郎村委会那郎组活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇芒茂村委会芒抗村平山后寨#2变芒抗村活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县贺派乡水平村委会回外村回外活动室&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇白马社区建设路街子三队202号大尔多超市&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所胡家坪子社5号宁德甫）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇甘东社区耿马政府办公楼办公副楼&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇白马社区耿马镇白马社区耿马农机站车库及办公楼&#41;,耿马鼎泰新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（永康镇底卡村麻栗林组11号）,永德云昱新能源科技有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇芒蚌村委会芒蚌村芒畔村委会芒畔村芒畔组刀忠明&#41;,耿马鼎泰新能源有限公司,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡马洪村陈家沟社15号易家聪）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪乡花山村公所石旮旯社72号周宗钱）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇安居村汤家坪社16号王朝才）,云南电网有限责任公司昭通巧家供电局,,无,0
220V董仲维、杜升波等1万户分布式光伏电站（云南省昭通市巧家县崇溪镇背风村代家坪社8号胡兴伦）,云南电网有限责任公司昭通巧家供电局,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县耿马镇其他吉龙花园东门耿马县耿马镇华侨村华侨卫生院办公楼及输液室&#41;,耿马鼎泰新能源有限公司,,无,0
380V永德县户用屋顶分布式光伏项目（乌木龙彝族乡石灰地村水井边组7号）,永德云昱新能源科技有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇其他勐撒镇林业工作站&#41;,耿马鼎泰新能源有限公司,,无,0
380V云南省耿马自治县鼎泰新能源50MW户用光伏项目&#40;云南省临沧市耿马县勐撒镇其他勐撒镇其他乡政府宿舍楼&#41;,耿马鼎泰新能源有限公司,,无,0
