风电场项目名称（中文）,装机容量(MW),电站类型,经度,纬度,省份
中广核如东海上风电项目,152,海上固定式,121.6917,32.3739,江苏
中广核射阳黄沙港47.9MW风力发电项目,48,陆上风电,120.3675,33.5674,江苏
中广核江苏如东H8海上风电项目,300,海上固定式,121.9333,32.7501,江苏
中电大丰风力发电二期（50MW）项目,50,陆上风电,120.7706,33.1816,江苏
中电投东海风力发电连云港马陵山风电场项目49.5MW发电工程,50,陆上风电,118.4085,34.4411,江苏
中电投徐州贾汪江庄80MW低风速风电场示范项目,74,陆上风电,117.4292,34.4661,江苏
中电投滨海新能源盐城淮海风电场48.0MW发电工程,48,陆上风电,120.1932,34.1256,江苏
中电投滨海新能源盐城滨淮风电场48.0MW发电工程,48,陆上风电,120.0828,34.2701,江苏
中电盐城大丰特许权风电场200MW发电工程,200,陆上风电,120.734,33.167,江苏
云杉如东H5海上风电场,300,海上固定式,121.7532,32.7361,江苏
亚洲新能源宝应县100MW风电场项目,100,陆上风电,119.2214,33.2745,江苏
华威启东H1海上风电场项目,252,海上固定式,122.0501,32.145,江苏
华威启东H2海上风电场项目,252,海上固定式,122.1828,32.0239,江苏
华尔锐启东H3海上风电场项目,300,海上固定式,121.8803,31.9601,江苏
华润南通如东东安二期风电场项目,16,陆上风电,121.2929,32.3081,江苏
华润新能源（盐城）44MW风力发电项目,44,陆上风电,120.1879,33.4046,江苏
华润淮安风电场,99,陆上风电,120.0001,33.0001,江苏
华润高邮临泽风电场,53,陆上风电,120.0001,33.0001,江苏
华能仪征风电场,59,陆上风电,119.012,32.4329,江苏
华能南京六合49.5MW风力发电项目,50,陆上风电,118.5896,32.5973,江苏
华能南通启东风电场一期91.5MW发电工程,92,陆上风电,121.8501,31.8333,江苏
华能南通启东风电场二期94MW发电工程,94,陆上风电,121.9094,31.7675,江苏
华能南通如东风电场48MW发电工程,48,陆上风电,120.0001,33.0001,江苏
华能大丰H13海上风电项目,302,海上固定式,120.7683,33.212,江苏
华能大丰扩建 100MW 海上风电项目,104,海上固定式,121.4717,33.1333,江苏
华能如东八仙角300MW海上风电场工程,302,海上固定式,121.2583,32.6583,江苏
华能徐州铜山风电场项目,50,陆上风电,117.275,34.4667,江苏
华能灌云海上风电项目,303,海上固定式,119.7402,34.525,江苏
华能盛东如东H3-2海上风电场工程,100,海上固定式,121.4032,32.8254,江苏
华能盛东如东H3海上风电场工程,400,海上固定式,121.4032,32.8254,江苏
协合徐州铜山风电场项目,48,陆上风电,117.267,34.4919,江苏
协鑫如东H1-2#海上风电场,200,海上固定式,121.5483,32.3967,江苏
协鑫如东H13海上风电项目,152,海上固定式,121.365,32.7333,江苏
协鑫如东H15海上风电场,200,海上固定式,121.5483,32.3967,江苏
南京高传机电宝应射阳湖镇风电场,100,陆上风电,119.6205,33.3076,江苏
响水长江风力发电盐城C1#12.5MW发电工程,12,海上固定式,120.0921,34.5429,江苏
响水黄海农场风电场三期,100,陆上风电,119.9443,34.2943,江苏
响水黄海农场风电场二期,101,陆上风电,119.9267,34.345,江苏
响水黄海农场风电场项目,50,陆上风电,119.9333,34.3342,江苏
嘉鑫淮阴风电场,90,陆上风电,118.9512,33.7285,江苏
国信如东H2海上风电场工程,350,海上固定式,121.6717,32.8226,江苏
国信淮安50MW风力发电项目,50,陆上风电,119.4227,33.6095,江苏
国信灌云100兆瓦陆上风电场,100,陆上风电,120.0001,33.0001,江苏
国华射阳(农牧公司)低风速风电场,50,陆上风电,120.0001,33.0001,江苏
国华射阳二期150MW 风电场,148,陆上风电,120.3592,33.8029,江苏
国华投资江苏东台200MW风电创新升级改造延役项目,200,陆上风电,120.9022,32.7719,江苏
国华睢宁低风速风电场项目,36,陆上风电,117.7208,34.1206,江苏
国家电投江苏滨海北H2#400MW海上风电项目,400,海上固定式,120.21,34.3618,江苏
国电投如东H4海上风电场,400,海上固定式,121.6009,32.6645,江苏
国电投如东H7海上风电场,400,海上固定式,121.849,32.8321,江苏
国电投滨海南区H3海上风电场,300,海上固定式,120.3333,34.3001,江苏
国网许继金湖县陈桥镇50MW风电场项目,50,陆上风电,119.0398,33.124,江苏
大唐大丰50MW风力发电项目,50,陆上风电,120.5501,33.434,江苏
大唐新能源射阳风电场,48,陆上风电,114.9973,31.3068,江苏
天润盐城大丰试验风电场,49,陆上风电,112.2167,33.3333,江苏
宝应广洋湖100兆瓦风电场,101,陆上风电,120.0001,33.0001,江苏
射阳智能风机样机试验风电场项目,49,陆上风电,120.14,33.7655,江苏
射阳海上南区H1#30 万千瓦风电场,302,海上固定式,121.1002,33.6602,江苏
射阳海上南区H5#风电场,400,海上固定式,121.2103,33.5901,江苏
巨石涟水一号风电场项目,45,陆上风电,119.2756,33.8516,江苏
巨石涟水三号风电场项目,100,陆上风电,119.2756,33.8516,江苏
巨石涟水二号风电场项目,90,陆上风电,119.2756,33.8516,江苏
广恒如东H14海上风电场项目,200,海上固定式,121.5183,32.8192,江苏
新天灌云图河风电场,66,陆上风电,120.0001,33.0001,江苏
新天盱眙洪泽风电场项目,66,陆上风电,118.3601,33.1362,江苏
新沂市合沟众鑫风力发电有限公司50MW风电项目,50,陆上风电,118.1485,34.4027,江苏
江苏东台200兆瓦海上风电项目 (江苏广恒),200,海上固定式,121.1359,32.9348,江苏
江苏东台三期（弶南）风电场 (国华),110,陆上风电,120.8773,32.6757,江苏
江苏东台三期（梁垛河）风电场 (国华),90,陆上风电,120.8558,32.8492,江苏
江苏东台二期扩建风电场 (国华),49,陆上风电,120.0001,33.0001,江苏
江苏东台二期风电场 (国华),200,陆上风电,120.9031,32.6597,江苏
江苏仪征大仪风电场,95,陆上风电,120.0001,33.0001,江苏
江苏仪征陈集风电场,50,陆上风电,120.0001,33.0001,江苏
江苏兴化沙沟低风速风电场,50,陆上风电,120.0001,33.0001,江苏
江苏启东东元风电场,100,陆上风电,121.7995,31.9375,江苏
江苏响水大有镇风电场,126,陆上风电,120.0001,33.0001,江苏
江苏响水陈家港风电场,55,陆上风电,120.0001,33.0001,江苏
江苏响水风电场 (三峡),201,陆上风电,119.7933,34.2464,江苏
江苏大丰一期港区风电场 (龙源),70,陆上风电,120.7725,33.2403,江苏
江苏大丰三期风电场 (龙源),200,陆上风电,120.5836,33.2901,江苏
江苏大丰二期风电场 (龙源),80,陆上风电,120.5836,33.2901,江苏
江苏大丰大中风电场,100,陆上风电,120.6833,33.1167,江苏
江苏大唐新能源金湖50兆瓦风力发电项目,50,陆上风电,119.2851,33.0656,江苏
江苏如东一期东凌风电场 (龙源),100,陆上风电,121.4357,32.2695,江苏
江苏如东东凌风电场 (华润),50,陆上风电,121.3667,32.3236,江苏
江苏如东东凌风电场 (国信),70,陆上风电,121.3713,32.3483,江苏
江苏如东东凌风电场二期 (国信),48,陆上风电,121.4036,32.3336,江苏
江苏如东东凌风电场二期扩建 (国信),32,陆上风电,121.1833,32.326,江苏
江苏如东凌洋风电场,50,陆上风电,121.0302,32.5967,江苏
江苏如东风电场 (江苏联能),100,陆上风电,121.0572,32.5458,江苏
江苏如东风电场三期 (龙源),150,陆上风电,121.2596,32.1372,江苏
江苏如东风电场二期 (龙源),100,陆上风电,121.1278,32.5323,江苏
江苏射阳新洋农场风电场,101,陆上风电,120.0001,33.0001,江苏
江苏射阳洋马风电场,48,陆上风电,120.3678,33.5861,江苏
江苏射阳特庸风电场,48,陆上风电,120.3065,33.508,江苏
江苏射阳盐阜银宝风电场,100,陆上风电,120.0001,33.0001,江苏
江苏射阳风电场 (中广核),200,陆上风电,120.4042,33.9408,江苏
江苏新沂阿湖风电场,90,陆上风电,120.0001,33.0001,江苏
江苏昌荣50兆瓦风电场,50,陆上风电,120.0989,32.9503,江苏
江苏江都小纪风电场,45,陆上风电,120.0001,33.0001,江苏
江苏油田金湖分散式风力发电项目,9,陆上风电,118.897,33.0286,江苏
江苏涟水唐集风电场,48,陆上风电,119.534,33.9212,江苏
江苏淮阴三树风电场,72.5,陆上风电,118.9512,33.7285,江苏
江苏滨海300MW海上风电项目,302,海上固定式,120.3287,34.2399,江苏
江苏滨海北区H1#海上风电场,100,海上固定式,120.3006,34.2406,江苏
江苏滨海头罾风电场一期,48,陆上风电,120.0001,33.0001,江苏
江苏滨海头罾风电场三期续建,42,陆上风电,120.0001,33.0001,江苏
江苏滨海头罾风电场二期,86,陆上风电,120.0001,33.0001,江苏
江苏滨海头罾风电场二期续建,58,陆上风电,120.0001,33.0001,江苏
江苏滨海振东风电场一期,50,陆上风电,120.2426,34.1421,江苏
江苏滨海振东风电场二期,16,陆上风电,120.2275,34.1372,江苏
江苏滨海期振东风电场三,51,陆上风电,120.0001,33.0001,江苏
江苏滨海风电场 (华电),121,陆上风电,120.1995,34.2086,江苏
江苏灌云沂北风电场,75,陆上风电,120.0001,33.0001,江苏
江苏灌云灌西风电场,100,陆上风电,120.0001,33.0001,江苏
江苏盐城射阳临海农场风电场一期,50,陆上风电,120.2667,33.7583,江苏
江苏盐城射阳临海农场风电场二期,100,陆上风电,120.2667,33.725,江苏
江苏盱眙低风速示范风电场一期,50,陆上风电,118.3319,32.885,江苏
江苏盱眙低风速示范风电场一期49.9MW发电工程,50,陆上风电,118.4315,32.8387,江苏
江苏盱眙低风速示范风电场三期,90,陆上风电,118.3544,32.9072,江苏
江苏盱眙（仇集）低风速示范项目（99.9MW）,100,陆上风电,118.3319,32.885,江苏
江苏竹根沙H1#海上风电场,200,海上固定式,120.9298,32.8505,江苏
江苏竹根沙（H2#）300MW 海上风电场项目,302,海上固定式,121.3079,32.9193,江苏
江苏蒋家沙（H2#）300MW海上风电场项目,302,海上固定式,121.1048,31.7732,江苏
江苏邳州燕子埠风电场,48,陆上风电,120.0001,33.0001,江苏
江苏金湖塔集风电场,100,陆上风电,119.1752,32.9021,江苏
江苏高邮汤周山电场,50,陆上风电,120.0001,33.0001,江苏
江苏高邮汤庄风电场,50,陆上风电,120.0001,33.0001,江苏
江苏高邮龙虬风电场,50,陆上风电,120.0001,33.0001,江苏
江都武坚协鑫风电EPC项目,50,陆上风电,119.7944,32.7606,江苏
泗洪协合风力发电宿迁协合风电场一期工程项目49.5MW发电工程,50,陆上风电,118.9833,33.6167,江苏
泗洪县高传天岗湖风电场项目,49.5,陆上风电,118.0053,33.2377,江苏
泗洪远景风电场项目,87,陆上风电,118.0419,33.3622,江苏
涟水六塘河公兴河风电场项目,44,陆上风电,119.2015,34.0154,江苏
淮安博里镇风电场,48,陆上风电,120.0001,33.0001,江苏
淮安天润新能华东公司金湖50兆瓦风力发电,50,陆上风电,119.1676,33.1214,江苏
淮安金北100MW风电场项目,100,陆上风电,118.9905,33.1152,江苏
淮阴刘老庄风电场,52,陆上风电,118.9512,33.7285,江苏
深能宝应射阳湖50兆瓦风力发电项目,50,陆上风电,119.6205,33.3076,江苏
深能江苏涟水风电场,48,陆上风电,119.4455,33.8833,江苏
深能江苏淮阴刘老庄风电场,50,陆上风电,118.9512,33.7285,江苏
深能高邮三垛30兆瓦分散式风电,30,陆上风电,119.6741,32.8297,江苏
深能高邮东部100MW风电场,100,陆上风电,120.0001,33.0001,江苏
深能高邮临泽风电场,38,陆上风电,120.0001,33.0001,江苏
深能高邮甘垛风电场,62,陆上风电,120.0001,33.0001,江苏
灌云四队102.5MW陆上风电场项目,102.5,陆上风电,119.5192,34.4308,江苏
灌云圩丰镇12MW分散式风电项目,12,陆上风电,121.4578,32.1109,江苏
灌云益风南滩陆上风电场项目,15,陆上风电,119.6193,34.448,江苏
灌云蒙能建50MW风电场工程,50,陆上风电,119.5575,34.4597,江苏
灌云鑫风临港陆上风电场项目,40,陆上风电,119.6775,34.4161,江苏
盱眙源宇古桑风电项目,50,陆上风电,118.5172,32.9612,江苏
睢宁和泰风力发电有限公司魏集镇风电项目,85,陆上风电,117.9621,34.018,江苏
苏州康盛风力发电相城区阳澄湖低风速风电示范项目49.5MW发电工程,50,陆上风电,120.7685,31.4999,江苏
蒋家沙(H1) 海上风电项目,300,海上固定式,121.1048,31.7732,江苏
蒋家沙(H1) 海上风电项目,50,海上固定式,121.1378,32.6845,江苏
融保达宝应西安丰60MW风电工程,60,陆上风电,119.489,33.3835,江苏
远景淮阴风电场项目,33,陆上风电,118.8606,33.7512,江苏
通如东潮间带风电场30MW发电工程,32,海上固定式,121.1948,32.5258,江苏
金湖县99.7MW向东风电场项目,99.7,陆上风电,118.9659,33.058,江苏
金湖县塔集镇60兆瓦风力发电项目,60,陆上风电,119.1708,32.9525,江苏
金湖海新60MW风电项目,60,陆上风电,119.2803,33.122,江苏
高邮协合风电场一期50MW发电项目,50,陆上风电,119.2678,32.7179,江苏
龙源南通如东潮间带示范风电场150MW发电工程,141,海上固定式,121.1888,32.5364,江苏
龙源南通如东潮间带示范风电场50MW扩建发电工程,54,海上固定式,121.1965,32.5513,江苏
龙源大丰H12海上风电项目；龙源江苏大丰H12海上风电项目,200,海上固定式,121.1333,33.3083,江苏
龙源大丰H4海上风电项目；龙源江苏大丰H4海上风电项目,303,海上固定式,121.2404,33.2358,江苏
龙源大丰H6海上风电项目；龙源江苏大丰H6海上风电项目,303,海上固定式,121.3783,33.4333,江苏
龙源大丰H7海上风电项目；龙源江苏大丰H7海上风电项目,200,海上固定式,120.7683,33.212,江苏
龙源射阳H2#30万千瓦海上风电场,302,海上固定式,121.162,33.5943,江苏
龙源江苏射阳海上南区H2-1#100MW 风电场,104,海上固定式,121.0833,33.5667,江苏
龙源盱眙穆店低风速风电场（50MW）项目,51,陆上风电,118.607,32.8522,江苏
龙源盱眙风力发电淮安低风速风电示范项目49.6MW发电工程,50,陆上风电,118.3147,32.8654,江苏
龙源连云港东海李埝风电场,48,陆上风电,118.5417,34.6833,江苏
龙源连云港东海李埝风电场二期项目,50,陆上风电,118.553,34.6316,江苏
龙源黄海如东海上风力发电南通C4#200MW发电工程,200,海上固定式,121.2938,32.5169,江苏
东阳东白山风电场,15,陆上风电,120.2329,29.4782,浙江
中广核(浙江宁海)风力发电宁波宁海一市风电场项目48.0MW发电工程,48,陆上风电,121.4292,29.2144,浙江
中广核三门龙母山风电项目,60,陆上风电,121.4864,29.0378,浙江
中广核嘉兴海宁尖山风电场项目40.0MW发电工程,40,陆上风电,120.8025,30.2994,浙江
中广核海宁尖山风电场扩建工程项目,10,陆上风电,120.8374,30.3289,浙江
华电长兴和平风力项目,70,陆上风电,119.901,30.8314,浙江
华电长兴弁山风电场,22,陆上风电,120.0324,30.9501,浙江
华能云和黄源风电场项目,34,陆上风电,119.3861,28.0156,浙江
国电奉化风力发电宁波牛角山风电场项目22.5MW发电工程,22,陆上风电,121.6744,29.6194,浙江
国电鄞州风力发电宁波白岩山风电场工程项目45.0MW发电工程,45,陆上风电,121.636,29.6257,浙江
天润湖州狮子山风电项目,38,陆上风电,119.8975,30.6878,浙江
平阳西湾风电项目,16,陆上风电,120.6178,27.6484,浙江
浙江东海德迦风力发电宁波象山檀头山风电场项目25.5MW发电工程,26,陆上风电,122.0418,29.1731,浙江
浙江中营风能宁波北仑福泉山风电场45.0MW发电工程,45,陆上风电,121.9411,29.8231,浙江
浙江丽水庆元百花岩风电场,250,陆上风电,119.072,27.6227,浙江
浙江仙居广度风电场,29,陆上风电,120.0001,29.0001,浙江
浙江台州1#海上风电场,300,海上固定式,121.8667,28.8667,浙江
浙江嘉兴1号海上风电场,300,海上固定式,121.4971,30.398,浙江
浙江嘉兴2号海上风电场,300,海上固定式,121.3358,30.5819,浙江
浙江大唐国际平湖风电场,28,陆上风电,121.2115,30.6608,浙江
浙江宁波宁海茶山风电场,50,陆上风电,121.6379,29.4003,浙江
浙江宁波穿山风电场,45,陆上风电,121.0788,29.8705,浙江
浙江宁波象山珠山风电场,45,陆上风电,121.9442,29.5808,浙江
浙江岱山4 #海上风电场 （ 一 期 ）,234,海上固定式,121.8917,30.4501,浙江
浙江嵊泗2#海上风电场,400,海上固定式,122.0884,30.619,浙江
浙江嵊泗5# 6#海上风电,281,海上固定式,122.0333,30.7167,浙江
浙江庆元双苗尖风电场,40,陆上风电,120.0001,29.0001,浙江
浙江普陀6号海上风电场,252,海上固定式,122.199,29.6505,浙江
浙江核象山涂茨海上风电场,300,海上固定式,121.9801,29.5461,浙江
浙江温岭东海塘风电场,40,陆上风电,121.6166,28.4106,浙江
浙江玉环海上风电场,301,海上固定式,121.2622,28.1311,浙江
浙江磐安仁川风电场一期,42,陆上风电,120.8001,28.5681,浙江
浙江磐安维新风电场一期,22,陆上风电,120.0001,29.0001,浙江
浙江磐安维新风电场二期,16,陆上风电,120.0001,29.0001,浙江
浙江舟山岑港风电场,45,陆上风电,121.9578,30.1715,浙江
浙江舟山衢山岛风电场,41,陆上风电,122.3878,30.4319,浙江
浙江舟山衢山岛风电场二期,10,陆上风电,120.0001,29.0001,浙江
浙江舟山金塘风电场,26,陆上风电,121.8831,29.9917,浙江
浙江舟山长白风电场,12,陆上风电,122.0425,30.1932,浙江
浙江苍南1号海上风电场,400,海上固定式,120.9167,27.3667,浙江
浙江苍南2号海上风电场,301,海上固定式,120.8153,27.2883,浙江
浙江苍南4号海上风电场,400,海上固定式,120.9667,27.275,浙江
浙江苍南霞关风电场,14,陆上风电,120.5249,27.1732,浙江
浙江象山1#海上风电场一期,254,海上固定式,122.0536,29.0229,浙江
浙江象山1#海上风电场二期,504,海上固定式,122.005,29.0379,浙江
浙江黄岩风电场 (UPC),42,陆上风电,120.0001,29.0001,浙江
浙能温州洞头风电场13.5MW发电工程,14,陆上风电,121.1094,27.8314,浙江
海盐中电工程嘉兴风电场项目一期40.0MW发电工程,40,陆上风电,121.0365,30.5772,浙江
玉环大麦屿风电场工程,50,陆上风电,121.1934,28.0781,浙江
磐安仁川风电场二期工程,24,陆上风电,120.4361,28.8432,浙江
磐安县廿四尖维新乡风电场二期工程,16,陆上风电,120.6639,28.9492,浙江
磐安县廿四尖背风电场工程,20,陆上风电,120.6561,28.9347,浙江
舟山市嵊泗东绿华风电场,20,陆上风电,122.6526,30.8211,浙江
象山花岙大佛山风力发电宁波高塘岛炮台山风电场项目18.0MW发电工程,18,陆上风电,121.806,29.1343,浙江
远景广德横山49.5MW风电场项目,50,陆上风电,119.3653,31.0511,浙江
龙源浙江苍南皇帝平风电场16MW发电工程,16,陆上风电,120.6356,27.375,浙江
三峡新能源利川天上坪风电场48.0MW发电工程,48,陆上风电,108.6017,30.2481,湖北
三峡新能源利川安家坝风电项目,48,陆上风电,108.6431,30.3222,湖北
三峡新能源通城黄龙山风电项目,50,陆上风电,113.9005,29.0333,湖北
中南电力天门蒋场99MW风储一体化工程项目,99,陆上风电,112.9445,30.6052,湖北
中广核利川元堡风电项目,50,陆上风电,109.0137,30.2341,湖北
中广核利川寒池风电项目,70,陆上风电,109.082,30.573,湖北
中广核大悟三里城风电项目,36,陆上风电,114.2552,31.7684,湖北
中广核大悟墨关风电项目,30,陆上风电,114.557,31.725,湖北
中广核大悟宣化风电场,100,陆上风电,114.4987,31.6909,湖北
中广核大悟敖家山风电项目,70,陆上风电,114.4236,31.4728,湖北
中广核大悟阳平大坡顶风电场工程项目,96,陆上风电,114.1956,31.4764,湖北
中广核广水余店风电项目,62,陆上风电,113.6992,31.7736,湖北
中广核广水寿山风电项目,36,陆上风电,113.6671,31.4578,湖北
中广核通山大幕山风电项目,58,陆上风电,114.6385,29.7751,湖北
中广核钟祥朝阳山风电场,40,陆上风电,112.309,31.4469,湖北
中广核阳新富池风电场工程项目,36,陆上风电,115.1083,29.825,湖北
中广核风力发电孝感大悟光头山风电场36.0MW发电工程,36,陆上风电,114.1211,31.8046,湖北
中广核风力发电孝感大悟江家山风电场48.0MW发电工程,48,陆上风电,114.1022,31.6792,湖北
中广核风力发电孝感大悟鲁家畈风电场22.0MW发电工程,22,陆上风电,114.1132,31.6409,湖北
中广核风力发电孝感擂鼓台风电场48.0MW发电工程,48,陆上风电,114.1047,31.7393,湖北
中广核风力发电孝感舒家山风电场22.0MW发电工程,22,陆上风电,114.273,31.7462,湖北
中电建咸安白云山风电场,100,陆上风电,114.5451,29.808,湖北
中电投风脉宜昌新能源夷陵百里荒风电场50.0MW发电工程,50,陆上风电,111.5171,30.9436,湖北
中电麻城纯阳山风电项目,80,陆上风电,115.125,31.5501,湖北
中节能五峰牛庄风电场二期,22.5,陆上风电,110.2852,30.1976,湖北
中节能湖北襄州 25 万千瓦风储一体化项目 （一期）工程项目,100,陆上风电,111.9716,32.3518,湖北
丰华广水武胜关风电项目,48,陆上风电,114.0799,31.6096,湖北
丰华曾都君子山风电场,100,陆上风电,113.3719,31.7126,湖北
丰华襄州朱集风储一体化风电场项目,50,陆上风电,112.4081,32.0889,湖北
丰华黄梅四面山风电场工程项目,48,陆上风电,116.1507,29.8671,湖北
丰华黄梅招云寨二期风电场,80,陆上风电,116.0159,29.7628,湖北
北京宣力监利下梓堤风电场,100,陆上风电,113.1544,29.5658,湖北
北京宣力监利黄家堤风电场,50,陆上风电,113.1778,29.5833,湖北
华润宜城喜山风电场四期工程项目,25,陆上风电,112.1158,32.0117,湖北
华润宜城板桥风电场二期工程项目,50,陆上风电,112.5071,32.8582,湖北
华润宜城红花堰一期风电30MW,30,陆上风电,112.1158,32.0117,湖北
华润广水竹园风电场项目,60,陆上风电,113.7185,31.9063,湖北
华润广水花山风电场工程项目,50,陆上风电,113.6897,31.9503,湖北
华润应城新能源基地二期130MW风电,130,陆上风电,113.364,30.899,湖北
华润应城龙湖风储一体化风电场一期,100,陆上风电,113.5866,31.0928,湖北
华润应城龙湖风储一体化风电场二期,200,陆上风电,113.4744,30.8561,湖北
华润当阳景山风电场工程,37.5,陆上风电,111.7017,30.7094,湖北
华润新能源随县孙家寨风电场49.5MW发电工程,50,陆上风电,113.5417,32.1833,湖北
华润新能源随州随县凤鸣风电场28.5MW发电工程,28,陆上风电,113.7167,32.075,湖北
华润新能源随州随县天河口风电场49.5MW发电工程,50,陆上风电,113.525,32.175,湖北
华润新能源随州随县紫金山风电场49.5MW发电工程,50,陆上风电,113.525,32.175,湖北
华润枣阳太平二期10MW风电项目,10,陆上风电,112.8704,32.3632,湖北
华润枣阳白鹤风电场,50,陆上风电,112.6965,32.8549,湖北
华润枣阳白鹭风电项目,20,陆上风电,112.6779,31.9189,湖北
华润沙洋马良风电场,50,陆上风电,112.5803,30.7029,湖北
华润沙洋马良风电场二期工程项目,50,陆上风电,112.5803,30.7029,湖北
华润湖北枣阳长岭42MW风电场,42,陆上风电,112.9472,32.2241,湖北
华润潜江张金200MW风电项目,200,陆上风电,112.5967,30.1923,湖北
华润潜江竹根滩100MW风电项目；华润潜江竹根滩50MW风电,50,陆上风电,112.8993,30.4902,湖北
华润电力京山永兴一期100MW,100,陆上风电,113.1019,31.0328,湖北
华润电力京山永兴二期50MW风电场,50,陆上风电,113.1019,31.0328,湖北
华润电力红安天明风电场150MW工程；华润电力红安天明风电项目,150,陆上风电,114.5338,31.4584,湖北
华润随县万和风电场项目,50,陆上风电,113.2847,32.2278,湖北
华润随县云峰风电场30MW工程项目,30,陆上风电,113.4215,32.1712,湖北
华润随县朝阳风电场二期工程,14,陆上风电,113.0809,32.1392,湖北
华润随县朝阳风电场项目,36,陆上风电,113.0809,32.1392,湖北
华润随县迎风风电场项目,42,陆上风电,113.344,32.0727,湖北
华润随县金罗山100兆瓦风电场项目,100,陆上风电,113.6813,32.1153,湖北
华润随县香湾风电场项目,72,陆上风电,113.6726,32.1928,湖北
华润随县龙泉风电场项目,42,陆上风电,113.2306,32.0595,湖北
华润风电宜城板桥风电项目49.8MW发电工程,50,陆上风电,112.5071,32.8582,湖北
华能随县界山风电场工程项目,48,陆上风电,112.775,31.6094,湖北
协合枣阳新市风电项目,47,陆上风电,113.0418,32.357,湖北
协合荆门圣境山风电项目,48,陆上风电,112.0922,31.1873,湖北
协合荆门栗溪风电项目,48,陆上风电,112.0734,31.2449,湖北
协合襄州襄北风储一体二期风电场平价上网项目,100,陆上风电,112.1283,32.2868,湖北
协合襄州襄北风储一体化风电场一期,100,陆上风电,112.1404,32.3095,湖北
协合风电荆门子陵铺风电场工程项目,48,陆上风电,112.1807,31.1301,湖北
国家电投宜昌云台荒风电场(长阳县),80,陆上风电,110.5818,30.7559,湖北
国家电投黄梅太白湖风电场一期,50,陆上风电,116.0159,29.7628,湖北
国电安陆赵棚风电场,50,陆上风电,113.8809,31.4099,湖北
国电广水乐城山风电场二期,21,陆上风电,114.0652,31.6488,湖北
国电投湖北宜昌百里荒二期40MW风电项目,40,陆上风电,111.5171,30.9436,湖北
国电长源广水乐城山风电项目,44,陆上风电,114.0801,31.6098,湖北
国电长源广水金山风电项目,50,陆上风电,113.8558,31.4594,湖北
大唐湖北宜城龙王山风电场,50,陆上风电,112.5406,31.7543,湖北
大唐黄梅孔垄50MW风储一体化发电项目,50,陆上风电,115.9182,29.8836,湖北
大唐龙感湖风电二期,47,陆上风电,115.9148,29.9221,湖北
天门天盛净潭风光互补风电场,100,陆上风电,113.4006,30.6554,湖北
天门天盛净潭风光互补风电项目(一期),100,陆上风电,113.4521,30.6622,湖北
天门天盛风电场二期,100,陆上风电,113.3931,30.657,湖北
天门申能风光储一体化项目250MW风电项目,200,陆上风电,113.1522,30.6358,湖北
天顺沙洋一期200MW风电项目,200,陆上风电,112.2226,30.7493,湖北
崇阳小岭分散式风电项目,30,陆上风电,113.8272,29.5754,湖北
应城东岗风电场,97,陆上风电,113.6263,30.8696,湖北
应城高投能源应城有名店风电场,80,陆上风电,113.4882,30.9804,湖北
水电顾问集团崇阳金塘风电项目,50,陆上风电,114.0807,29.2302,湖北
湖北五峰北风垭风电场,96,陆上风电,112.8806,31.1531,湖北
湖北五峰南岭风电场,100,陆上风电,112.8806,31.1531,湖北
湖北五峰牛庄风电场,120,陆上风电,112.8806,31.1531,湖北
湖北团风北坳风电场,55,陆上风电,112.8806,31.1531,湖北
湖北大悟五岳山风电场一期,50,陆上风电,114.3389,31.6892,湖北
湖北大悟五岳山风电场二期,48,陆上风电,114.3083,31.7383,湖北
湖北大悟仙居顶风电场,30,陆上风电,114.4295,31.5334,湖北
湖北孝昌界岭风电场,34,陆上风电,112.8806,31.1531,湖北
湖北宜城喜山二期风电,28,陆上风电,112.1158,32.0117,湖北
湖北宜城喜山风电场一期,100,陆上风电,112.1158,32.0117,湖北
湖北宜城红花堰二期风电场,10,陆上风电,112.1158,32.0117,湖北
湖北崇阳罗家山风电场,84,陆上风电,112.8806,31.1531,湖北
湖北广水中华山风电场,50,陆上风电,112.8806,31.1531,湖北
湖北广水中华山风电场,50,陆上风电,112.8806,31.1531,湖北
湖北广水京桥风电场,60,陆上风电,112.8806,31.1531,湖北
湖北广水龙门风电场,12,陆上风电,112.8806,31.1531,湖北
湖北恩施利川柏杨坝风电场,50,陆上风电,108.8922,30.5559,湖北
湖北恩施利川汪营风电场,48,陆上风电,108.6339,30.2965,湖北
湖北恩施利川齐岳山风电场,49,陆上风电,108.802,30.4717,湖北
湖北恩施利川齐岳山风电场二期,50,陆上风电,109.4746,30.2975,湖北
湖北恩施板桥风电场,51,陆上风电,109.4746,30.2975,湖北
湖北枣阳太平风电场,50,陆上风电,112.8704,32.3632,湖北
湖北枣阳平林风电场一期,30,陆上风电,112.1158,32.0117,湖北
湖北枣阳平林风电场二期,20,陆上风电,112.1158,32.0117,湖北
湖北武穴大金风电场,80,陆上风电,115.5971,30.0317,湖北
湖北潜江合煜风电场,50,陆上风电,114.3567,30.5202,湖北
湖北秭归云台荒风电项目(B标段),100,陆上风电,110.5863,30.8633,湖北
湖北能源利川中槽风电项目,34,陆上风电,108.7043,30.3933,湖北
湖北能源荆门象河一期风电项目,100,陆上风电,112.0674,31.3863,湖北
湖北能源荆门象河二期风电项目,72,陆上风电,112.0342,31.2613,湖北
